"alert_id","event_id","event_type","date","store_id","sku_id","event_risk","kpi_signal","forecast_signal","composite_risk_score","severity","recommended_action","event_ts","emitted_ts","event_to_alert_lag_seconds"
"AL000000000220","EV000000000220","reorder_trigger","2025-01-01","ST005","SKU00011","0.78","0.0483","0.0765","0.2698","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:19:00","2025-01-01T14:19:12","12"
"AL000000000221","EV000000000221","expiry_risk","2025-01-01","ST005","SKU00011","0.73","0.0483","0.0765","0.4948","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:21:00","2025-01-01T16:22:25","85"
"AL000000000222","EV000000000222","reorder_trigger","2025-01-01","ST005","SKU00074","0.78","0.0483","0.067","0.2679","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:33:00","2025-01-01T14:34:59","119"
"AL000000000223","EV000000000223","reorder_trigger","2025-01-01","ST005","SKU00499","0.78","0.0483","0.0666","0.2678","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:23:00","2025-01-01T14:24:18","78"
"AL000000000224","EV000000000224","reorder_trigger","2025-01-01","ST005","SKU00068","0.78","0.0483","0.0257","0.2596","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:21:00","2025-01-01T14:22:14","74"
"AL000000000225","EV000000000225","expiry_risk","2025-01-01","ST005","SKU00016","0.73","0.0483","0.0874","0.497","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:14:00","2025-01-01T16:14:45","45"
"AL000000000226","EV000000000226","overstock_risk","2025-01-01","ST005","SKU00505","0.64","0.0483","0.0437","0.3432","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:16:00","2025-01-01T19:16:41","41"
"AL000000000227","EV000000000227","reorder_trigger","2025-01-01","ST005","SKU00204","0.78","0.0483","0.0227","0.259","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:29:00","2025-01-01T14:30:55","115"
"AL000000000228","EV000000000228","reorder_trigger","2025-01-01","ST005","SKU00303","0.78","0.0483","0.0222","0.2589","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:35:00","2025-01-01T14:36:19","79"
"AL000000000229","EV000000000229","reorder_trigger","2025-01-01","ST005","SKU00067","0.78","0.0483","0.0679","0.2681","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:44:00","2025-01-01T14:45:43","103"
"AL000000000230","EV000000000230","overstock_risk","2025-01-01","ST005","SKU00319","0.64","0.0483","0.0249","0.3395","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:39:00","2025-01-01T19:40:02","62"
"AL000000000231","EV000000000231","overstock_risk","2025-01-01","ST005","SKU00107","0.64","0.0483","0.0113","0.3367","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:27:00","2025-01-01T19:28:43","103"
"AL000000000232","EV000000000232","reorder_trigger","2025-01-01","ST006","SKU00587","0.78","0.0481","0.1199","0.2784","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:05:00","2025-01-01T14:06:22","82"
"AL000000000233","EV000000000233","reorder_trigger","2025-01-01","ST006","SKU00115","0.78","0.0481","0.0318","0.2608","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:32:00","2025-01-01T14:33:30","90"
"AL000000000234","EV000000000234","reorder_trigger","2025-01-01","ST006","SKU00127","0.78","0.0481","0.0237","0.2592","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:09:00","2025-01-01T14:09:22","22"
"AL000000000235","EV000000000235","reorder_trigger","2025-01-01","ST006","SKU00437","0.78","0.0481","0.0625","0.2669","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:29:00","2025-01-01T14:30:55","115"
"AL000000000236","EV000000000236","reorder_trigger","2025-01-01","ST006","SKU00395","0.78","0.0481","0.0339","0.2612","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:02:00","2025-01-01T14:02:51","51"
"AL000000000237","EV000000000237","reorder_trigger","2025-01-01","ST006","SKU00286","0.78","0.0481","0.0615","0.2667","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:21:00","2025-01-01T14:21:05","5"
"AL000000000238","EV000000000238","stockout_risk","2025-01-01","ST006","SKU00286","0.91","0.0481","0.0615","0.6317","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:07:00","2025-01-01T18:08:52","112"
"AL000000000239","EV000000000239","overstock_risk","2025-01-01","ST006","SKU00259","0.64","0.0481","0.0235","0.3391","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:45:00","2025-01-01T19:46:06","66"
"AL000000000240","EV000000000240","overstock_risk","2025-01-01","ST006","SKU00102","0.64","0.0481","0.0353","0.3415","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:01:00","2025-01-01T19:01:33","33"
"AL000000000241","EV000000000241","reorder_trigger","2025-01-01","ST006","SKU00560","0.78","0.0481","0.093","0.273","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:43:00","2025-01-01T14:44:56","116"
"AL000000000242","EV000000000242","reorder_trigger","2025-01-01","ST006","SKU00295","0.78","0.0481","0.064","0.2672","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:43:00","2025-01-01T14:44:09","69"
"AL000000000243","EV000000000243","stockout_risk","2025-01-01","ST006","SKU00295","0.91","0.0481","0.064","0.6322","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:14:00","2025-01-01T18:14:42","42"
"AL000000000244","EV000000000244","overstock_risk","2025-01-01","ST006","SKU00340","0.64","0.0481","0.0364","0.3417","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:29:00","2025-01-01T19:30:21","81"
"AL000000000245","EV000000000245","reorder_trigger","2025-01-01","ST006","SKU00098","0.78","0.0481","0.0348","0.2614","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:41:00","2025-01-01T14:41:44","44"
"AL000000000246","EV000000000246","reorder_trigger","2025-01-01","ST006","SKU00004","0.78","0.0481","0.0423","0.2629","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:43:00","2025-01-01T14:43:50","50"
"AL000000000247","EV000000000247","reorder_trigger","2025-01-01","ST006","SKU00019","0.78","0.0481","0.0819","0.2708","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:11:00","2025-01-01T14:11:30","30"
"AL000000000248","EV000000000248","reorder_trigger","2025-01-01","ST006","SKU00418","0.78","0.0481","0.0407","0.2626","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:21:00","2025-01-01T14:21:18","18"
"AL000000000249","EV000000000249","reorder_trigger","2025-01-01","ST006","SKU00594","0.78","0.0481","0.0395","0.2623","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:47:00","2025-01-01T14:48:00","60"
"AL000000000250","EV000000000250","reorder_trigger","2025-01-01","ST006","SKU00566","0.78","0.0481","0.0564","0.2657","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:50:00","2025-01-01T14:51:41","101"
"AL000000000251","EV000000000251","reorder_trigger","2025-01-01","ST006","SKU00164","0.78","0.0481","0.1235","0.2791","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:28:00","2025-01-01T14:29:58","118"
"AL000000000252","EV000000000252","overstock_risk","2025-01-01","ST006","SKU00312","0.64","0.0481","0.0115","0.3367","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:27:00","2025-01-01T19:28:10","70"
"AL000000000253","EV000000000253","overstock_risk","2025-01-01","ST006","SKU00278","0.64","0.0481","0.0601","0.3464","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:00:00","2025-01-01T19:01:43","103"
"AL000000000254","EV000000000254","overstock_risk","2025-01-01","ST006","SKU00349","0.64","0.0481","0.0347","0.3414","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:22:00","2025-01-01T19:23:54","114"
"AL000000000255","EV000000000255","overstock_risk","2025-01-01","ST006","SKU00055","0.64","0.0481","0.0149","0.3374","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:10:00","2025-01-01T19:11:13","73"
"AL000000000256","EV000000000256","reorder_trigger","2025-01-01","ST006","SKU00060","0.78","0.0481","0.0566","0.2657","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:33:00","2025-01-01T14:34:14","74"
"AL000000000257","EV000000000257","reorder_trigger","2025-01-01","ST006","SKU00206","0.78","0.0481","0.0268","0.2598","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:41:00","2025-01-01T14:42:24","84"
"AL000000000258","EV000000000258","reorder_trigger","2025-01-01","ST006","SKU00547","0.78","0.0481","0.0746","0.2693","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:10:00","2025-01-01T14:12:04","124"
"AL000000000259","EV000000000259","reorder_trigger","2025-01-01","ST006","SKU00411","0.78","0.0481","0.0344","0.2613","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:00:00","2025-01-01T14:00:26","26"
"AL000000000260","EV000000000260","overstock_risk","2025-01-01","ST006","SKU00457","0.64","0.0481","0.0452","0.3435","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:30:00","2025-01-01T19:31:27","87"
"AL000000000261","EV000000000261","reorder_trigger","2025-01-01","ST006","SKU00409","0.78","0.0481","0.027","0.2598","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:41:00","2025-01-01T14:41:05","5"
"AL000000000262","EV000000000262","stockout_risk","2025-01-01","ST006","SKU00409","0.91","0.0481","0.027","0.6248","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:29:00","2025-01-01T18:29:23","23"
"AL000000000263","EV000000000263","reorder_trigger","2025-01-01","ST006","SKU00551","0.78","0.0481","0.0485","0.2641","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:24:00","2025-01-01T14:25:42","102"
"AL000000000264","EV000000000264","reorder_trigger","2025-01-01","ST006","SKU00389","0.78","0.0481","0.0237","0.2592","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:25:00","2025-01-01T14:25:09","9"
"AL000000000265","EV000000000265","reorder_trigger","2025-01-01","ST006","SKU00242","0.78","0.0481","0.0705","0.2685","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:15:00","2025-01-01T14:15:35","35"
"AL000000000266","EV000000000266","overstock_risk","2025-01-01","ST006","SKU00061","0.64","0.0481","0.0299","0.3404","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:01:00","2025-01-01T19:01:27","27"
"AL000000000267","EV000000000267","reorder_trigger","2025-01-01","ST007","SKU00025","0.78","0.0459","0.0727","0.2683","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:47:00","2025-01-01T14:47:31","31"
"AL000000000268","EV000000000268","overstock_risk","2025-01-01","ST007","SKU00319","0.64","0.0459","0.0222","0.3382","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:14:00","2025-01-01T19:15:45","105"
"AL000000000269","EV000000000269","overstock_risk","2025-01-01","ST007","SKU00241","0.64","0.0459","0.0151","0.3368","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:28:00","2025-01-01T19:29:23","83"
"AL000000000270","EV000000000270","overstock_risk","2025-01-01","ST007","SKU00439","0.64","0.0459","0.0108","0.3359","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:02:00","2025-01-01T19:02:41","41"
"AL000000000271","EV000000000271","overstock_risk","2025-01-01","ST007","SKU00561","0.64","0.0459","0.0204","0.3378","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:46:00","2025-01-01T19:46:28","28"
"AL000000000272","EV000000000272","overstock_risk","2025-01-01","ST007","SKU00501","0.64","0.0459","0.0407","0.3419","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:29:00","2025-01-01T19:30:46","106"
"AL000000000273","EV000000000273","reorder_trigger","2025-01-01","ST007","SKU00406","0.78","0.0459","0.0602","0.2658","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:16:00","2025-01-01T14:17:19","79"
"AL000000000274","EV000000000274","reorder_trigger","2025-01-01","ST007","SKU00577","0.78","0.0459","0.063","0.2664","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:29:00","2025-01-01T14:29:57","57"
"AL000000000275","EV000000000275","overstock_risk","2025-01-01","ST007","SKU00198","0.64","0.0459","0.0131","0.3364","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:46:00","2025-01-01T19:47:58","118"
"AL000000000276","EV000000000276","overstock_risk","2025-01-01","ST007","SKU00149","0.64","0.0459","0.0608","0.3459","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:43:00","2025-01-01T19:43:30","30"
"AL000000000277","EV000000000277","overstock_risk","2025-01-01","ST007","SKU00545","0.64","0.0459","0.0159","0.337","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:01:00","2025-01-01T19:02:55","115"
"AL000000000278","EV000000000278","overstock_risk","2025-01-01","ST007","SKU00018","0.64","0.0459","0.0307","0.3399","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:03:00","2025-01-01T19:04:21","81"
"AL000000000279","EV000000000279","overstock_risk","2025-01-01","ST007","SKU00422","0.64","0.0459","0.0326","0.3403","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:26:00","2025-01-01T19:27:25","85"
"AL000000000280","EV000000000280","overstock_risk","2025-01-01","ST007","SKU00373","0.64","0.0459","0.0149","0.3367","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:30:00","2025-01-01T19:30:49","49"
"AL000000000281","EV000000000281","reorder_trigger","2025-01-01","ST007","SKU00424","0.78","0.0459","0.063","0.2664","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:02:00","2025-01-01T14:02:27","27"
"AL000000000282","EV000000000282","overstock_risk","2025-01-01","ST007","SKU00281","0.64","0.0459","0.0204","0.3379","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:22:00","2025-01-01T19:23:53","113"
"AL000000000283","EV000000000283","reorder_trigger","2025-01-01","ST007","SKU00442","0.78","0.0459","0.0382","0.2614","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:09:00","2025-01-01T14:10:10","70"
"AL000000000284","EV000000000284","overstock_risk","2025-01-01","ST007","SKU00273","0.64","0.0459","0.0424","0.3422","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:12:00","2025-01-01T19:13:36","96"
"AL000000000285","EV000000000285","overstock_risk","2025-01-01","ST007","SKU00237","0.64","0.0459","0.0151","0.3368","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:13:00","2025-01-01T19:14:17","77"
"AL000000000286","EV000000000286","overstock_risk","2025-01-01","ST007","SKU00503","0.64","0.0459","0.0437","0.3425","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:44:00","2025-01-01T19:45:57","117"
"AL000000000287","EV000000000287","overstock_risk","2025-01-01","ST007","SKU00091","0.64","0.0459","0.0178","0.3373","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:28:00","2025-01-01T19:29:02","62"
"AL000000000288","EV000000000288","expiry_risk","2025-01-01","ST007","SKU00091","0.73","0.0459","0.0178","0.4823","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:12:00","2025-01-01T16:14:01","121"
"AL000000000289","EV000000000289","overstock_risk","2025-01-01","ST007","SKU00234","0.64","0.0459","0.0175","0.3373","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:26:00","2025-01-01T19:26:45","45"
"AL000000000290","EV000000000290","overstock_risk","2025-01-01","ST007","SKU00109","0.64","0.0459","0.0196","0.3377","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:45:00","2025-01-01T19:45:17","17"
"AL000000000291","EV000000000291","reorder_trigger","2025-01-01","ST007","SKU00469","0.78","0.0459","0.0633","0.2664","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:27:00","2025-01-01T14:27:36","36"
"AL000000000292","EV000000000292","overstock_risk","2025-01-01","ST007","SKU00453","0.64","0.0459","0.0232","0.3384","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:10:00","2025-01-01T19:10:53","53"
"AL000000000293","EV000000000293","reorder_trigger","2025-01-01","ST007","SKU00493","0.78","0.0459","0.0507","0.2639","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:27:00","2025-01-01T14:27:41","41"
"AL000000000294","EV000000000294","reorder_trigger","2025-01-01","ST007","SKU00549","0.78","0.0459","0.0795","0.2697","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:30:00","2025-01-01T14:30:14","14"
"AL000000000295","EV000000000295","stockout_risk","2025-01-01","ST007","SKU00549","0.91","0.0459","0.0795","0.6347","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:05:00","2025-01-01T18:06:43","103"
"AL000000000296","EV000000000296","overstock_risk","2025-01-01","ST007","SKU00267","0.64","0.0459","0.0392","0.3416","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:16:00","2025-01-01T19:16:18","18"
"AL000000000297","EV000000000297","overstock_risk","2025-01-01","ST007","SKU00526","0.64","0.0459","0.0286","0.3395","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:30:00","2025-01-01T19:31:17","77"
"AL000000000298","EV000000000298","overstock_risk","2025-01-01","ST007","SKU00310","0.64","0.0459","0.0227","0.3383","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:01:00","2025-01-01T19:02:42","102"
"AL000000000299","EV000000000299","reorder_trigger","2025-01-01","ST007","SKU00005","0.78","0.0459","0.0442","0.2626","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:46:00","2025-01-01T14:46:56","56"
"AL000000000300","EV000000000300","stockout_risk","2025-01-01","ST007","SKU00005","0.91","0.0459","0.0442","0.6276","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:45:00","2025-01-01T18:45:22","22"
"AL000000000301","EV000000000301","overstock_risk","2025-01-01","ST007","SKU00114","0.64","0.0459","0.0221","0.3382","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:49:00","2025-01-01T19:50:51","111"
"AL000000000302","EV000000000302","overstock_risk","2025-01-01","ST007","SKU00260","0.64","0.0459","0.0257","0.3389","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:42:00","2025-01-01T19:42:58","58"
"AL000000000303","EV000000000303","reorder_trigger","2025-01-01","ST007","SKU00598","0.78","0.0459","0.0645","0.2667","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:25:00","2025-01-01T14:26:14","74"
"AL000000000304","EV000000000304","overstock_risk","2025-01-01","ST007","SKU00425","0.64","0.0459","0.0238","0.3385","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:42:00","2025-01-01T19:43:15","75"
"AL000000000305","EV000000000305","overstock_risk","2025-01-01","ST007","SKU00391","0.64","0.0459","0.0372","0.3412","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:21:00","2025-01-01T19:22:40","100"
"AL000000000306","EV000000000306","overstock_risk","2025-01-01","ST007","SKU00122","0.64","0.0459","0.0356","0.3409","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:04:00","2025-01-01T19:05:23","83"
"AL000000000307","EV000000000307","expiry_risk","2025-01-01","ST007","SKU00315","0.73","0.0459","0.1129","0.5013","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:14:00","2025-01-01T16:14:58","58"
"AL000000000308","EV000000000308","overstock_risk","2025-01-01","ST007","SKU00396","0.64","0.0459","0.0416","0.3421","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:50:00","2025-01-01T19:50:53","53"
"AL000000000309","EV000000000309","overstock_risk","2025-01-01","ST007","SKU00470","0.64","0.0459","0.0181","0.3374","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:23:00","2025-01-01T19:25:02","122"
"AL000000000310","EV000000000310","overstock_risk","2025-01-01","ST007","SKU00102","0.64","0.0459","0.0384","0.3414","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:27:00","2025-01-01T19:27:24","24"
"AL000000000311","EV000000000311","overstock_risk","2025-01-01","ST007","SKU00046","0.64","0.0459","0.0526","0.3443","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:12:00","2025-01-01T19:12:07","7"
"AL000000000312","EV000000000312","overstock_risk","2025-01-01","ST007","SKU00312","0.64","0.0459","0.0161","0.337","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:30:00","2025-01-01T19:31:37","97"
"AL000000000313","EV000000000313","reorder_trigger","2025-01-01","ST007","SKU00175","0.78","0.0459","0.0688","0.2675","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:35:00","2025-01-01T14:35:12","12"
"AL000000000314","EV000000000314","reorder_trigger","2025-01-01","ST007","SKU00174","0.78","0.0459","0.0798","0.2697","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:13:00","2025-01-01T14:14:14","74"
"AL000000000315","EV000000000315","overstock_risk","2025-01-01","ST007","SKU00180","0.64","0.0459","0.0243","0.3386","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:47:00","2025-01-01T19:47:16","16"
"AL000000000316","EV000000000316","reorder_trigger","2025-01-01","ST007","SKU00466","0.78","0.0459","0.0709","0.2679","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:22:00","2025-01-01T14:23:33","93"
"AL000000000317","EV000000000317","overstock_risk","2025-01-01","ST007","SKU00133","0.64","0.0459","0.0188","0.3375","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:01:00","2025-01-01T19:02:58","118"
"AL000000000318","EV000000000318","overstock_risk","2025-01-01","ST007","SKU00090","0.64","0.0459","0.0166","0.3371","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:25:00","2025-01-01T19:25:57","57"
"AL000000000319","EV000000000319","reorder_trigger","2025-01-01","ST007","SKU00204","0.78","0.0459","0.0903","0.2718","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:43:00","2025-01-01T14:43:17","17"
"AL000000000320","EV000000000320","overstock_risk","2025-01-01","ST007","SKU00127","0.64","0.0459","0.0168","0.3371","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:07:00","2025-01-01T19:07:18","18"
"AL000000000321","EV000000000321","overstock_risk","2025-01-01","ST007","SKU00528","0.64","0.0459","0.0203","0.3378","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:24:00","2025-01-01T19:25:56","116"
"AL000000000322","EV000000000322","overstock_risk","2025-01-01","ST007","SKU00474","0.64","0.0459","0.0302","0.3398","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:11:00","2025-01-01T19:11:37","37"
"AL000000000323","EV000000000323","overstock_risk","2025-01-01","ST007","SKU00433","0.64","0.0459","0.0404","0.3418","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:46:00","2025-01-01T19:47:53","113"
"AL000000000324","EV000000000324","reorder_trigger","2025-01-01","ST007","SKU00256","0.78","0.0459","0.0285","0.2595","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:37:00","2025-01-01T14:37:50","50"
"AL000000000325","EV000000000325","overstock_risk","2025-01-01","ST007","SKU00414","0.64","0.0459","0.0274","0.3393","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:39:00","2025-01-01T19:39:51","51"
"AL000000000326","EV000000000326","reorder_trigger","2025-01-01","ST007","SKU00576","0.78","0.0459","0.1069","0.2752","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:12:00","2025-01-01T14:12:51","51"
"AL000000000327","EV000000000327","stockout_risk","2025-01-01","ST007","SKU00576","0.91","0.0459","0.1069","0.6402","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:47:00","2025-01-01T18:47:34","34"
"AL000000000328","EV000000000328","overstock_risk","2025-01-01","ST007","SKU00347","0.64","0.0459","0.0114","0.336","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:30:00","2025-01-01T19:30:21","21"
"AL000000000329","EV000000000329","reorder_trigger","2025-01-01","ST007","SKU00599","0.78","0.0459","0.0605","0.2659","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:24:00","2025-01-01T14:24:23","23"
"AL000000000330","EV000000000330","overstock_risk","2025-01-01","ST007","SKU00162","0.64","0.0459","0.0361","0.341","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:18:00","2025-01-01T19:18:22","22"
"AL000000000331","EV000000000331","overstock_risk","2025-01-01","ST007","SKU00144","0.64","0.0459","0.0128","0.3363","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:00:00","2025-01-01T19:01:36","96"
"AL000000000332","EV000000000332","overstock_risk","2025-01-01","ST007","SKU00541","0.64","0.0459","0.0195","0.3377","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:37:00","2025-01-01T19:38:24","84"
"AL000000000333","EV000000000333","overstock_risk","2025-01-01","ST007","SKU00434","0.64","0.0459","0.0413","0.342","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:30:00","2025-01-01T19:30:42","42"
"AL000000000334","EV000000000334","overstock_risk","2025-01-01","ST007","SKU00291","0.64","0.0459","0.0151","0.3368","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:39:00","2025-01-01T19:40:59","119"
"AL000000000335","EV000000000335","overstock_risk","2025-01-01","ST007","SKU00182","0.64","0.0459","0.0841","0.3506","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:45:00","2025-01-01T19:45:12","12"
"AL000000000336","EV000000000336","overstock_risk","2025-01-01","ST007","SKU00346","0.64","0.0459","0.0185","0.3375","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:33:00","2025-01-01T19:34:14","74"
"AL000000000337","EV000000000337","overstock_risk","2025-01-01","ST007","SKU00211","0.64","0.0459","0.0542","0.3446","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:09:00","2025-01-01T19:10:32","92"
"AL000000000338","EV000000000338","expiry_risk","2025-01-01","ST007","SKU00015","0.73","0.0459","0.0588","0.4905","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:28:00","2025-01-01T16:29:17","77"
"AL000000000339","EV000000000339","overstock_risk","2025-01-01","ST007","SKU00472","0.64","0.0459","0.0371","0.3412","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:14:00","2025-01-01T19:14:34","34"
"AL000000000340","EV000000000340","overstock_risk","2025-01-01","ST007","SKU00308","0.64","0.0459","0.039","0.3416","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:11:00","2025-01-01T19:11:27","27"
"AL000000000341","EV000000000341","reorder_trigger","2025-01-01","ST007","SKU00330","0.78","0.0459","0.0613","0.266","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:43:00","2025-01-01T14:44:47","107"
"AL000000000342","EV000000000342","overstock_risk","2025-01-01","ST007","SKU00078","0.64","0.0459","0.0196","0.3377","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:40:00","2025-01-01T19:41:36","96"
"AL000000000343","EV000000000343","overstock_risk","2025-01-01","ST007","SKU00255","0.64","0.0459","0.028","0.3394","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:23:00","2025-01-01T19:24:50","110"
"AL000000000344","EV000000000344","overstock_risk","2025-01-01","ST007","SKU00398","0.64","0.0459","0.0427","0.3423","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:13:00","2025-01-01T19:14:40","100"
"AL000000000345","EV000000000345","overstock_risk","2025-01-01","ST007","SKU00113","0.64","0.0459","0.0383","0.3414","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:13:00","2025-01-01T19:14:48","108"
